VELOCITY MPS	ROTOR PITCH ANGLE DEG	TILT ANGLE DEG	PROP 2 RPM	PROP 6 RPM	HOVER PROP RPM	PROP2_FX	PROP2_FY	PROP2_FZ	PROP2_MX	PROP2_MY	PROP2_MZ	PROP6_FX	PROP6_FY	PROP6_FZ	PROP6_MX	PROP6_MY	PROP6_MZ
0	9.9	90	500	500	NaN	582.5365083	-4.213808267	-0.664851571	94.28951783	2.160835676	23.58945961	575.5733567	-3.196907256	2.554604707	-91.51610239	7.153490911	15.57817044
0	9.9	90	800	800	NaN	1513.900589	-11.06080317	-1.455450564	244.5897428	4.145254525	61.32036794	1495.466367	-7.971497428	7.355539533	-237.3785278	16.59578387	44.14046911
0	9.9	90	1100	1100	NaN	2916.306017	-21.36900489	-3.070936491	473.81514	6.826658233	119.778728	2882.300194	-14.82607389	16.13669089	-459.7922972	30.59422288	89.73272917
0	9.9	90	1400	1400	NaN	4850.244539	-35.70234572	-6.078796027	796.6055356	13.81612344	207.2708989	4793.528233	-23.69118922	30.12003978	-772.3600833	47.37616946	158.5518049
10	9.9	90	500	500	NaN	747.8490233	-8.080268234	-54.50712728	84.48095711	152.2447161	111.2557101	609.8481733	-4.130743949	-52.56393367	-88.10291361	127.2048082	-141.5779681
10	9.9	90	800	800	NaN	1713.887806	-0.611772169	-84.50713556	229.0549817	314.330565	216.2323933	1413.331061	-12.95449396	-65.64283422	-237.5455117	266.17578	-179.8207974
10	9.9	90	1100	1100	NaN	3152.800617	-11.12536857	-125.0016867	452.6959422	454.7634411	355.9198278	2710.309178	-16.11853541	-79.30255111	-436.6556489	436.6805394	-329.405925
10	9.9	90	1400	1400	NaN	5135.10485	-20.98008398	-159.7532711	772.7982794	608.3924889	526.5181994	4522.877183	-26.69235037	-99.857036	-727.2563928	605.8998633	-427.9371378
10	13	90	500	500	NaN	870.834515	-7.00475521	-67.19029272	117.2132172	145.9367633	149.7281785	748.7055494	-15.57193732	-58.06538094	-129.2628444	136.1718875	-160.3049071
10	13	90	800	800	NaN	2037.200039	-0.940124867	-109.2422151	318.7057978	284.8418222	302.4870306	1708.414856	-23.200414	-80.67771178	-334.1746611	243.25786	-251.0732656
