MODEL	VELOCITY MPS	ALPHA DEG	BETA DEG	TILT PROP RPM	PROP 1 RPM	PROP 5 RPM	PROP1_FX	PROP1_FY	PROP1_FZ	PROP1_MX	PROP1_MY	PROP1_MZ	PROP5_FX	PROP5_FY	PROP5_FZ	PROP5_MX	PROP5_MY	PROP5_MZ
HOVER	0	0	0	NaN	500	500	613.7492267	0.94931313	-2.250112149	-99.95862211	9.762598572	-4.125020525	609.6501278	0.655908051	0.208630963	99.62493339	-7.644713341	-2.308678507
HOVER	0	0	0	NaN	800	800	1584.285372	2.295232262	-6.407322178	-259.0271194	25.59059248	-8.479278383	1579.893733	2.929715394	1.077820856	258.1292461	-22.07338726	-7.662580478
HOVER	0	0	0	NaN	1100	1100	3054.877806	3.875038756	-12.65482919	-502.6455411	50.09242243	-18.84598871	3047.397272	5.641344111	2.626686727	500.9436961	-44.71343368	-19.73857475
HOVER	0	0	0	NaN	1400	1400	5096.75605	6.008944905	-21.12707434	-845.0852217	88.95765917	-34.29007969	5093.169033	7.936282447	4.466256602	841.3564311	-83.58198808	-31.09098192
HOVER	10	0	0	NaN	500	500	735.0361567	-2.556092595	-49.545052	-93.76721711	147.8745261	-130.2897455	638.6409389	-5.834187719	-48.77227122	101.0437136	98.05490106	146.8091376
HOVER	10	0	0	NaN	800	800	1703.044444	-0.600021315	-82.60329461	-248.2927706	295.0775417	-241.3656933	1610.450511	-12.46426381	-79.19517811	259.8567928	205.3396794	238.0889033
HOVER	10	0	0	NaN	1100	1100	3192.442878	1.140237068	-115.9494556	-488.2923011	421.818595	-370.0326089	3033.660411	-16.66545768	-108.4855017	502.2324817	284.3026567	366.3226578
HOVER	10	0	0	NaN	1400	1400	5286.136872	12.7726551	-151.0824761	-826.6507706	575.4871372	-513.6373583	5008.536122	-27.47713161	-144.4033222	845.6858694	382.5443011	512.2745444
HOVER	10	-8	0	NaN	1100	1100	3132.252378	1.750785737	-113.5281944	-495.7386089	360.5553411	-358.0537817	3005.305289	-22.76969691	-107.2332567	503.5214478	299.9481694	320.4469422
HOVER	10	-4	0	NaN	1100	1100	3165.5649	2.049439922	-115.3258317	-492.23477	391.0434783	-364.5483139	3021.144772	-20.15577811	-108.0559704	502.7327989	293.5716917	342.0893956
HOVER	10	4	0	NaN	1100	1100	3217.637383	2.218744746	-117.2564394	-484.5910811	452.1678056	-374.868625	3022.726756	-14.70749063	-108.6179851	500.6348689	276.0582122	391.6497006
HOVER	10	8	0	NaN	1100	1100	3235.924928	3.590054299	-117.7456122	-480.7849872	482.7621961	-377.5114217	2987.191272	-13.35382482	-106.9443444	499.1304306	256.9905339	396.2640261
HOVER	20	0	0	NaN	500	500	949.766081	-14.573655	-89.043482	-90.817242	136.33792	-285.562672	698.119108	-3.08825	-102.155566	106.415584	103.230428	307.779985
HOVER	20	0	0	NaN	800	800	2047.491522	-12.579412	-159.116848	-242.133433	400.882882	-430.390682	1676.842094	-19.439254	-157.420937	267.263886	281.849098	469.412558
HOVER	20	0	0	NaN	1100	1100	3576.344011	-4.774308	-228.147211	-478.75415	728.546223	-626.760437	3213.715772	-30.157511	-224.588538	508.375121	484.153494	665.010068
HOVER	20	0	0	NaN	1400	1400	5646.974228	4.915695	-303.590418	-815.411048	1111.815914	-908.259677	5288.019333	-50.121607	-293.649991	852.595809	762.626017	886.109226
HOVER	20	-8	0	NaN	1100	1100	3364.012794	-4.476672	-222.680122	-497.953543	574.913095	-630.446052	3165.540722	-34.792873	-222.28162	513.564072	487.280728	596.985168
HOVER	20	-4	0	NaN	1100	1100	3475.507822	-4.211682	-226.233917	-489.065046	651.518212	-634.168871	3200.565972	-28.702621	-224.550314	510.752996	479.863576	630.041298
HOVER	20	4	0	NaN	1100	1100	3681.8468	-4.717269	-226.329828	-470.154297	793.190061	-607.173253	3150.383783	-41.211773	-224.472927	509.864555	500.825712	709.005148
HOVER	20	8	0	NaN	1100	1100	3795.811	-0.896451	-222.406061	-469.736848	830.189524	-582.869326	2987.1792	-61.162729	-228.790982	513.479539	574.870967	839.420083
HOVER	30	0	0	NaN	300	300	516.381811	-21.255292	-100.237499	-46.788199	53.029978	-311.394915	401.355682	9.66784	-95.993827	44.769087	36.383259	287.322938
HOVER	30	0	0	NaN	500	500	1099.129789	-23.936668	-135.396087	-101.21062	129.270853	-474.321526	861.124463	5.975044	-154.686134	112.167885	123.867204	486.636077
HOVER	30	0	0	NaN	800	800	2404.207172	-31.412504	-221.088725	-239.588501	361.650579	-696.127359	1776.392328	-10.64641	-247.574454	275.615447	274.519589	746.011524
HOVER	30	0	0	NaN	1100	1100	4086.857472	-27.203389	-331.547658	-472.301707	801.080673	-947.852023	3274.082678	-37.298987	-334.811243	523.495462	569.58361	1023.204189
HOVER	30	-8	0	NaN	800	800	1968.9559	-18.494077	-238.204467	-270.238706	326.716953	-658.796813	1786.346856	-18.341414	-247.278537	277.939863	309.869524	671.949511
HOVER	30	-4	0	NaN	800	800	2178.917056	-25.237317	-233.933248	-255.576259	366.768862	-684.764748	1793.922756	-11.295183	-248.178564	277.192859	280.71407	694.487939
HOVER	30	4	0	NaN	800	800	2603.620683	-32.374198	-201.983274	-231.959964	315.616316	-710.040096	1849.5759	-13.145091	-246.245876	272.641854	315.773302	820.481735
HOVER	30	8	0	NaN	800	800	2679.556567	-44.121503	-156.849817	-239.677055	303.742937	-708.23896	2004.7987	-11.267239	-227.720702	265.748489	348.940612	871.843783
HOVER	40	0	0	NaN	100	100	227.272479	-18.285142	-156.21693	-10.919821	0.364865	-231.970033	144.771127	19.501881	-140.92981	0.901328	-12.382993	217.973892
HOVER	40	0	0	NaN	300	300	640.861018	-25.669435	-165.049484	-54.611223	58.583851	-438.581308	485.672686	18.690911	-161.026339	47.518018	52.734204	401.483736
HOVER	40	0	0	NaN	500	500	1247.268848	-39.685622	-200.213527	-115.242242	150.778026	-677.935847	1007.180137	19.77174	-200.800984	118.7511	98.837838	652.135348
HOVER	40	0	0	NaN	800	800	2652.889506	-52.493337	-285.112933	-254.051314	363.179283	-1004.357586	2031.079044	3.748829	-338.192393	286.092078	328.104481	1052.431598
HOVER	40	-8	0	NaN	300	300	350.335251	-17.232724	-194.455908	-52.104263	55.000926	-335.083986	341.298043	-4.351009	-202.632242	50.782083	71.806173	340.087361
HOVER	40	-4	0	NaN	300	300	503.730204	-21.503032	-180.582968	-55.484108	65.731037	-391.765623	436.823975	5.526282	-182.209431	49.326665	69.695399	379.430438
HOVER	40	4	0	NaN	300	300	739.679449	-20.723291	-159.033546	-59.498918	40.723741	-443.502023	549.610408	18.455637	-149.367932	51.673641	50.178831	418.083696
HOVER	40	8	0	NaN	300	300	775.181244	-0.607413	-165.323169	-78.162122	14.803866	-413.929499	615.186944	16.282404	-143.445312	56.364861	57.847637	426.973888
HOVER	50	0	0	NaN	100	100	314.789434	-23.72121	-234.464015	-11.234271	4.15135	-336.571258	222.940763	27.412589	-210.840128	-0.966589	-30.74865	310.949898
HOVER	50	0	0	NaN	300	300	799.207003	-42.660381	-257.329653	-60.734289	65.012898	-580.883487	525.316781	36.729148	-227.343511	45.403015	39.576516	525.876004
HOVER	50	0	0	NaN	500	500	1441.747833	-60.900592	-278.545068	-131.312377	149.97342	-876.162987	1136.522441	26.662629	-270.201091	125.028755	110.908685	811.910489
HOVER	50	0	0	NaN	800	800	2902.818778	-61.841084	-372.794179	-271.739287	339.453927	-1319.151019	2300.582156	15.549823	-415.212153	296.010899	335.970332	1353.401543
HOVER	20	0	0	NaN	1100	800	3577.689956	-3.633468	-228.632127	-479.878396	720.562368	-627.912649	1674.553228	-7.275098	-153.896243	265.829732	192.716924	481.117807
HOVER	20	8	0	NaN	1100	800	3802.199722	-1.974723	-222.783922	-470.107526	818.759616	-591.322952	1578.425889	-30.647881	-151.876281	267.165792	221.226465	535.670689
